"","County","PollutionScore","Pollution_County","CountyPercentile"
"1","Los Angeles",6.700254472,1540,0.613301473516527
"2","Orange ",5.120922036,223,0.366776315789474
"3","Fresno ",6.637431031,170,0.752212389380531
"4","Los Angeles",5.712272601,742,0.295499800876145
"5","Los Angeles",8.27558984,2327,0.926722421346077
"6","Monterey ",4.748652141,74,0.711538461538462
"7","Orange ",7.117174319,526,0.865131578947368
"8","Los Angeles",7.7658482195,2171,0.864595778574273
"9","Los Angeles",4.992496205,330,0.13142174432497
"10","Alameda ",2.955823679,22,0.0562659846547315
"11","Riverside ",5.998099288,426,0.822393822393822
"12","Los Angeles",8.208722489,2303,0.917164476304261
"13","San Bernardino",6.38366547,341.5,0.74890350877193
"14","San Diego",4.830584812,420,0.569877883310719
"15","Sacramento ",3.98652681,149,0.408219178082192
"16","Amador ",2.663179681,1,0.1
"17","Riverside ",6.172952806,437,0.843629343629344
"18","Los Angeles",4.7959641935,261,0.103942652329749
"19","Los Angeles",4.946812562,312,0.124253285543608
"20","Los Angeles",6.6526839,1513,0.602548785344484
"21","Los Angeles",7.688013399,2129,0.847869374751095
"22","San Diego",4.832909242,421,0.57123473541384
"23","Los Angeles",6.483574901,1378,0.548785344484269
"24","San Mateo",4.823222855,108,0.624277456647399
"25","Los Angeles",5.89137965,880,0.350457984866587
"26","Los Angeles",5.902419379,883,0.351652727996814
"27","Orange ",7.1538818225,528,0.868421052631579
"28","San Bernardino",7.101962741,405,0.888157894736842
"29","Fresno ",4.802694917,32,0.141592920353982
"30","San Diego",7.534283962,735,0.997286295793758
"31","Santa Clara",3.825808811,129,0.316953316953317
"32","San Joaquin",3.971507484,12,0.0701754385964912
"33","San Diego",5.133246211,491,0.666214382632293
"34","San Francisco",2.759900555,7,0.0288065843621399
"35","Los Angeles",5.880094949,868,0.345679012345679
"36","Riverside ",1.805181698,4.5,0.00868725868725869
"37","Los Angeles",6.347552475,1257,0.500597371565114
"38","Riverside ",4.260988535,236,0.455598455598456
"39","Sacramento ",5.267754566,277,0.758904109589041
"40","San Diego",4.0238310145,239,0.324287652645862
"41","Santa Barbara",4.587323315,61.5,0.569444444444444
"42","Santa Clara",5.689800689,360,0.884520884520885
"43","Los Angeles",7.19473938733333,1875,0.746714456391876
"44","Riverside ",2.729551905,43,0.083011583011583
"45","Orange ",6.736165444,467,0.768092105263158
"46","Kern ",5.320930036,108,0.444444444444444
"47","Los Angeles",7.308175323,1935,0.770609318996416
"48","Mono ",4.297334643,3.5,0.875
"49","Sacramento ",6.384729248,339.5,0.93013698630137
"50","Los Angeles",6.224757062,1130,0.450019912385504
"51","Los Angeles",6.209478371,1119,0.445639187574671
"52","Los Angeles",5.972360077,931.5,0.370967741935484
"53","Orange ",5.7983338945,326,0.536184210526316
"54","Orange ",4.7433917655,166,0.273026315789474
"55","Placer ",2.7939253655,30.5,0.331521739130435
"56","Los Angeles",5.686002644,725,0.288729589804859
"57","Los Angeles",5.6676721515,710,0.282755874153724
"58","Los Angeles",6.476234456,1367.5,0.544603743528475
"59","San Bernardino",4.899517018,167,0.366228070175439
"60","Los Angeles",6.038430054,991,0.394663480684986
"61","Orange ",6.5542295,441,0.725328947368421
"62","Los Angeles",6.545612624,1412,0.562325766626842
"63","Sacramento ",3.580728434,105.5,0.289041095890411
"64","San Luis Obispo",4.553425999,45,0.671641791044776
"65","Los Angeles",6.423204599,1318,0.524890481879729
"66","Alameda ",5.239742536,288,0.736572890025575
"67","Humboldt ",3.2932387595,17,0.485714285714286
"68","Los Angeles",5.246826775,443.5,0.176622859418558
"69","Los Angeles",8.447942138,2376,0.946236559139785
"70","Los Angeles",7.830070333,2197,0.874950219036241
"71","El Dorado",3.381001408,40,0.740740740740741
